# gain=MAX atime_ms=100 simulated=0
t_s,ch0,ch1
288.0294,10674,2279
288.1433,10676,2277
288.2572,10676,2279
288.3712,10673,2278
288.4851,10673,2277
288.5990,10674,2277
288.7129,10675,2278
288.8269,10673,2277
288.9408,10675,2279
289.0547,10674,2277
289.1687,10678,2277
289.2827,10675,2278
289.3966,10676,2278
289.5106,10675,2279
289.6245,10672,2278
289.7384,10673,2278
289.8523,10672,2277
289.9662,10671,2277
290.0801,10670,2277
290.1941,10673,2277
290.3080,10672,2276
290.4219,10672,2278
290.5366,10673,2276
290.6518,10670,2277
290.7670,10670,2277
290.8822,10670,2277
290.9974,10670,2276
291.1125,10672,2277
291.2274,10668,2277
291.3413,10668,2277
291.4552,10669,2277
291.5692,10668,2276
291.6831,10668,2277
291.7970,10667,2276
291.9109,10671,2276
292.0250,10670,2276
292.1389,10672,2277
292.2528,10671,2276
292.3668,10673,2277
292.4807,10669,2277
292.5946,10670,2277
292.7085,10669,2277
292.8225,10669,2278
292.9364,10672,2277
293.0503,10672,2276
293.1642,10671,2277
293.2781,10672,2277
293.3921,10670,2278
293.5060,10674,2277
293.6199,10671,2278
293.7338,10672,2277
293.8477,10670,2277
293.9616,10674,2277
294.0756,10673,2277
294.1895,10673,2277
294.3035,10672,2277
294.4174,10670,2278
294.5313,10667,2277
294.6452,10666,2277
294.7592,10670,2277
294.8731,10669,2277
294.9870,10670,2276
295.1009,10671,2277
295.2150,10671,2276
295.3289,10669,2276
295.4428,10670,2278
295.5567,10669,2275
295.6707,10670,2276
295.7846,10669,2276
295.8985,10673,2277
296.0125,10673,2277
296.1265,10675,2277
296.2413,10672,2278
296.3566,10671,2277
296.4718,10671,2278
296.5870,10671,2277
296.7022,10672,2277
296.8174,10670,2278
296.9322,10673,2278
297.0461,10672,2278
297.1602,10670,2277
297.2741,10670,2277
297.3880,10672,2276
297.5019,10671,2277
297.6159,10670,2276
