# gain=MAX atime_ms=100 simulated=0
t_s,ch0,ch1
44.7419,10936,2326
44.8558,10937,2327
44.9697,10937,2326
45.0836,10936,2325
45.1987,10939,2326
45.3139,10938,2325
45.4291,10939,2326
45.5443,10937,2326
45.6595,10936,2327
45.7742,10938,2327
45.8882,10937,2327
46.0021,10938,2326
46.1161,10937,2327
46.2300,10933,2324
46.3439,10933,2326
46.4579,10935,2327
46.5718,10932,2326
46.6857,10935,2325
46.7996,10935,2326
46.9135,10937,2325
47.0275,10937,2326
47.1414,10937,2325
47.2554,10934,2324
47.3693,10932,2326
47.4832,10933,2326
47.5971,10932,2325
47.7111,10931,2325
47.8251,10935,2326
47.9391,10933,2326
48.0530,10933,2325
48.1669,10935,2324
48.2809,10933,2325
48.3948,10933,2325
48.5087,10932,2324
48.6226,10931,2325
48.7365,10928,2325
48.8505,10929,2325
48.9644,10930,2323
49.0783,10928,2323
49.1924,10930,2324
49.3063,10928,2323
49.4202,10930,2326
49.5341,10928,2324
49.6481,10928,2324
49.7620,10929,2323
49.8759,10929,2324
49.9898,10931,2324
50.1038,10930,2324
50.2177,10926,2325
50.3316,10926,2324
50.4455,10926,2324
50.5594,10925,2325
50.6733,10926,2325
50.7880,10924,2324
50.9033,10923,2323
51.0186,10927,2324
51.1338,10923,2323
51.2490,10925,2323
51.3642,10925,2324
51.4790,10924,2324
51.5929,10925,2324
51.7069,10924,2324
51.8208,10924,2325
51.9347,10926,2324
52.0487,10924,2323
52.1626,10922,2325
52.2765,10925,2323
52.3904,10925,2323
52.5043,10924,2324
52.6182,10924,2323
52.7321,10923,2323
52.8461,10923,2323
52.9600,10921,2324
53.0739,10920,2323
53.1878,10919,2323
53.3018,10919,2323
53.4157,10917,2322
53.5296,10921,2323
53.6436,10918,2322
53.7575,10918,2323
53.8714,10917,2322
53.9853,10921,2323
54.0993,10922,2321
54.2132,10919,2322
54.3271,10920,2323
54.4410,10917,2323
54.5549,10918,2322
54.6689,10917,2323
54.7828,10918,2321
54.8967,10918,2323
55.0106,10917,2322
55.1245,10915,2323
55.2386,10916,2323
55.3525,10916,2323
55.4665,10913,2321
55.5804,10915,2322
55.6943,10913,2321
55.8083,10912,2322
55.9222,10913,2322
56.0361,10914,2321
56.1500,10912,2322
56.2639,10915,2321
56.3778,10915,2322
56.4918,10910,2321
56.6070,10912,2321
56.7221,10913,2321
56.8374,10917,2322
56.9526,10912,2321
57.0678,10912,2321
57.1825,10911,2321
57.2965,10913,2322
57.4104,10910,2320
57.5243,10914,2321
57.6383,10916,2323
57.7522,10916,2323
57.8661,10915,2321
57.9800,10911,2321
58.0940,10909,2320
58.2079,10906,2322
58.3218,10910,2323
58.4357,10912,2321
58.5496,10909,2320
58.6636,10909,2320
58.7775,10910,2321
58.8914,10909,2320
59.0053,10908,2320
59.1193,10906,2320
59.2332,10907,2320
59.3471,10911,2321
59.4611,10911,2321
59.5750,10913,2321
59.6889,10910,2320
59.8028,10906,2321
59.9167,10903,2319
60.0306,10906,2321
60.1446,10905,2320
60.2585,10904,2320
60.3724,10906,2319
